official_name,brand,source_url,reason,evidence,suggested_action,review_status
Бавария газированная / Яблоко / ПЭТ 1500,Бавария,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,Вкус/фасовка из PDF-списка без подтверждённой комбинации вкус×тара,БУКЛЕТ БАВАРИЯ 2026.pdf; website assortment incomplete for this combo,Подтвердить визуально в буклете,MANUAL_REVIEW
Бавария газированная / Яблоко / ПЭТ 500,Бавария,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,Вкус/фасовка из PDF-списка без подтверждённой комбинации вкус×тара,БУКЛЕТ БАВАРИЯ 2026.pdf; website assortment incomplete for this combo,Подтвердить визуально в буклете,MANUAL_REVIEW
Бавария газированная / Яблоко / стекло 450,Бавария,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,Вкус/фасовка из PDF-списка без подтверждённой комбинации вкус×тара,БУКЛЕТ БАВАРИЯ 2026.pdf; website assortment incomplete for this combo,Подтвердить визуально в буклете,MANUAL_REVIEW
"Квас Добрецовъ Квас «», 2 л, ПЭТ",Добрецовъ,https://www.bavaria-group.ru/beer-product/kvas-dobrecov,"Объём с сайта расходится с буклетом (PDF: 1,2 л ПЭТ / 0,45 л банка). Не утверждать сайтный объём без сверки",prior sku BAVARIA-DOBRETSOV-KVAS-DOBRETSOV-2000-PET; PDF p.Kvass-section,Сверить этикетку/буклет; кеги не импортировать,MANUAL_REVIEW
"Квас Добрецовъ Квас «», 1,4 л, ПЭТ",Добрецовъ,https://www.bavaria-group.ru/beer-product/kvas-dobrecov,"Объём с сайта расходится с буклетом (PDF: 1,2 л ПЭТ / 0,45 л банка). Не утверждать сайтный объём без сверки",prior sku BAVARIA-DOBRETSOV-KVAS-DOBRETSOV-1400-PET; PDF p.Kvass-section,Сверить этикетку/буклет; кеги не импортировать,MANUAL_REVIEW
"Квас Добрецовъ Квас «», 0,45 л, ПЭТ",Добрецовъ,https://www.bavaria-group.ru/beer-product/kvas-dobrecov,"Объём с сайта расходится с буклетом (PDF: 1,2 л ПЭТ / 0,45 л банка). Не утверждать сайтный объём без сверки",prior sku BAVARIA-DOBRETSOV-KVAS-DOBRETSOV-450-PET; PDF p.Kvass-section,Сверить этикетку/буклет; кеги не импортировать,MANUAL_REVIEW
"Квас Добрецовъ, 2 л, ПЭТ",Добрецовъ,https://www.bavaria-group.ru/beer-product/kvas-dobrecov-bockovoj,"Объём с сайта расходится с буклетом (PDF: 1,2 л ПЭТ / 0,45 л банка). Не утверждать сайтный объём без сверки",prior sku BAVARIA-DOBRETSOV-KVAS-DOBRECOV-BOCKOVOJ-2000-PET; PDF p.Kvass-section,Сверить этикетку/буклет; кеги не импортировать,MANUAL_REVIEW
«Аварал»,Аварал,https://www.bavaria-group.ru/beer-product/avaral,Нельзя надёжно определить алкогольный статус | PDF файл не смонтирован в среде — визуальные стр. 17–40 не просмотрены,Недостаточно данных для надёжного определения крепости,Проверить карточку/этикетку вручную; не импортировать автоматически,MANUAL_REVIEW
Безалкогольный сильногазированный напиток «Dreamix»,Dreamix,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,Вкус не подписан в карточке (изображение 98) | PDF файл не смонтирован в среде — визуальные стр. 17–40 не просмотрены,Пустой title у slider item,Задать официальное название вкуса перед apply,MANUAL_REVIEW
Безалкогольный сильногазированный напиток «Dreamix»,Dreamix,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,Вкус не подписан в карточке (изображение 100) | PDF файл не смонтирован в среде — визуальные стр. 17–40 не просмотрены,Пустой title у slider item,Задать официальное название вкуса перед apply,MANUAL_REVIEW
Безалкогольный сильногазированный напиток «Dreamix»,Dreamix,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,Вкус не подписан в карточке (изображение 101) | PDF файл не смонтирован в среде — визуальные стр. 17–40 не просмотрены,Пустой title у slider item,Задать официальное название вкуса перед apply,MANUAL_REVIEW
Безалкогольный сильногазированный напиток «Dreamix»,Dreamix,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,Вкус не подписан в карточке (изображение 102) | PDF файл не смонтирован в среде — визуальные стр. 17–40 не просмотрены,Пустой title у slider item,Задать официальное название вкуса перед apply,MANUAL_REVIEW
«Cola Limited Edition»,Cola Limited Edition,https://www.bavaria-group.ru/beer-product/cola-limited-edition,Нельзя надёжно определить алкогольный статус | PDF файл не смонтирован в среде — визуальные стр. 17–40 не просмотрены,Недостаточно данных для надёжного определения крепости,Проверить карточку/этикетку вручную; не импортировать автоматически,MANUAL_REVIEW
"Напиток газированный Бавария Сладкий сильногазированный напиток «Родные Огоньки» газированная, 0,45 л, стекло",Бавария,https://www.bavaria-group.ru/beer-product/sladkij-silnogazirovannyj-napitok-cajka,Конфликт SKU BAVARIA-BAVARIYA-SLADKIY-SILNOGAZIROVANNYY-N-450-GLASS | PDF файл не смонтирован в среде — визуальные стр. 17–40 не просмотрены,бавария|сладкий сильногазированный напиток «родные огоньки»|450|glass|газированная|,Разрешить коллизию SKU вручную,MANUAL_REVIEW
"Напиток газированный Бавария Сладкий сильногазированный напиток «Родные Огоньки» газированная, 0,5 л, ПЭТ",Бавария,https://www.bavaria-group.ru/beer-product/sladkij-silnogazirovannyj-napitok-cajka,Конфликт SKU BAVARIA-BAVARIYA-SLADKIY-SILNOGAZIROVANNYY-NAP-500-PET | PDF файл не смонтирован в среде — визуальные стр. 17–40 не просмотрены,бавария|сладкий сильногазированный напиток «родные огоньки»|500|pet|газированная|,Разрешить коллизию SKU вручную,MANUAL_REVIEW
"Напиток газированный Бавария Сладкий сильногазированный напиток «Заповедная Тайга» газированная, 0,45 л, стекло",Бавария,https://www.bavaria-group.ru/beer-product/sladkij-silnogazirovannyj-napitok-cajka,Конфликт SKU BAVARIA-BAVARIYA-SLADKIY-SILNOGAZIROVANNYY-N-450-GLASS | PDF файл не смонтирован в среде — визуальные стр. 17–40 не просмотрены,бавария|сладкий сильногазированный напиток «заповедная тайга»|450|glass|газированная|,Разрешить коллизию SKU вручную,MANUAL_REVIEW
Сокосодержащий напиток «Ф»,Бавария,https://www.bavaria-group.ru/beer-product/sokosoderzasij-napitok-f,Нельзя надёжно определить алкогольный статус | PDF файл не смонтирован в среде — визуальные стр. 17–40 не просмотрены,Недостаточно данных для надёжного определения крепости,Проверить карточку/этикетку вручную; не импортировать автоматически,MANUAL_REVIEW
«ВкусВилл»,TBAU,https://www.bavaria-group.ru/beer-product/tbau,Не указаны объём и/или тара на официальной карточке | PDF файл не смонтирован в среде — визуальные стр. 17–40 не просмотрены,"
ПЭТ-бутылка 0,5 Sport Lock Негазированная/Газированная","Уточнить фасовку по этикетке/прайсу производителя, затем добавить вручную",MANUAL_REVIEW
Витаминный энергетический напиток Rocket Ride / Rocket Ride Classic,Rocket Ride,https://www.bavaria-group.ru/beer-product/vitaminnyj-napitok-rocket-ride,Не указаны объём и/или тара на официальной карточке | PDF файл не смонтирован в среде — визуальные стр. 17–40 не просмотрены,"Rocket Ride Classic
Неизменная формула энергии. Rocket Ride Classic – это надежный источник бодрости, сочетающий в себе выверенный состав и ставший культовым фирменный вкус. Выбор тех, кто ценит стабильность и эффективность.","Уточнить фасовку по этикетке/прайсу производителя, затем добавить вручную",MANUAL_REVIEW
Витаминный энергетический напиток Rocket Ride / Rocket Ride Mango-Apricot,Rocket Ride,https://www.bavaria-group.ru/beer-product/vitaminnyj-napitok-rocket-ride,Не указаны объём и/или тара на официальной карточке | PDF файл не смонтирован в среде — визуальные стр. 17–40 не просмотрены,"Rocket Ride Mango-Apricot
Rocket Ride Mango-Apricot — это изысканное сочетание тропической сладости манго и деликатной кислинки абрикоса, создающее неповторимую вкусовую симфонию. Откройте для себя новые грани энергии.","Уточнить фасовку по этикетке/прайсу производителя, затем добавить вручную",MANUAL_REVIEW
Витаминный энергетический напиток Rocket Ride / Rocket Ride Energy Киви-Яблоко,Rocket Ride,https://www.bavaria-group.ru/beer-product/vitaminnyj-napitok-rocket-ride,Не указаны объём и/или тара на официальной карточке | PDF файл не смонтирован в среде — визуальные стр. 17–40 не просмотрены,"Rocket Ride Energy Киви-Яблоко
Сбалансированное сочетание вкуса и энергии. Rocket Ride Kiwi-Apple – это гармоничный микс яркой кислинки киви и мягкой сладости яблока, обеспечивающий длительный заряд бодрости без излишней приторности. Идеаль","Уточнить фасовку по этикетке/прайсу производителя, затем добавить вручную",MANUAL_REVIEW
Витаминный энергетический напиток Rocket Ride / Rocket Ride Energy Дикие Ягоды,Rocket Ride,https://www.bavaria-group.ru/beer-product/vitaminnyj-napitok-rocket-ride,Не указаны объём и/или тара на официальной карточке | PDF файл не смонтирован в среде — визуальные стр. 17–40 не просмотрены,"Rocket Ride Energy Дикие Ягоды
Насыщенный вкус дикой природы в каждой банке. Rocket Ride Wild Berries – это мощный энергетический импульс, воплощенный в сочном букете лесных ягод. Почувствуйте прилив сил и энергии, достойный самых смелых вы","Уточнить фасовку по этикетке/прайсу производителя, затем добавить вручную",MANUAL_REVIEW
Витаминный энергетический напиток Rocket Ride / Rocket Ride Energy Лайм-Лемонграс,Rocket Ride,https://www.bavaria-group.ru/beer-product/vitaminnyj-napitok-rocket-ride,Не указаны объём и/или тара на официальной карточке | PDF файл не смонтирован в среде — визуальные стр. 17–40 не просмотрены,"Rocket Ride Energy Лайм-Лемонграс
Экзотическая свежесть и бодрящая энергия. Rocket Ride Lime-Lemongrass – это изысканное сочетание цитрусовой прохлады лайма и тонизирующих нот лемонграсса. Освежите свой разум и тело, откройте для себя новые","Уточнить фасовку по этикетке/прайсу производителя, затем добавить вручную",MANUAL_REVIEW
Горная родниковая вода «ТБАУ» Sport,TBAU,https://www.bavaria-group.ru/beer-product/zagolovok-produkta-2,"Линейка Sport упомянута на карточке, но точные объёмы/газированность для Sport не разложены отдельно без догадок | PDF файл не смонтирован в среде — визуальные стр. 17–40 не просмотрены","Ассортимент: «ТБАУ» газированная / «ТБАУ» негазированная / «ТБАУ Sport» / «ТБАУ Premium» газированная / «ТБАУ Premium» негазированная ПЭТ-бутылка 5 л | ПЭТ-бутылка 1,5 л | ПЭТ-бутылка 0,5 л | Стекло 0,5 л | ПЭТ-бутылка 0,5 л спорт-лок",Уточнить фасовки Sport на tbau.ru / этикетке и добавить вручную,MANUAL_REVIEW
"Напиток газированный Dreamix вариант 98 газированная, 1,5 л, ПЭТ",Dreamix,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,Вкус без официальной подписи — см. manual-review | PDF файл не смонтирован в среде — визуальные стр. 17–40 не просмотрены,BAVARIA-DREAMIX-VARIANT-98-GAZIROVANNAYA-1500-PET,Проверить вкус/фасовку перед apply,MANUAL_REVIEW
"Напиток газированный Dreamix вариант 98 газированная, 0,5 л, ПЭТ",Dreamix,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,Вкус без официальной подписи — см. manual-review | PDF файл не смонтирован в среде — визуальные стр. 17–40 не просмотрены,BAVARIA-DREAMIX-VARIANT-98-GAZIROVANNAYA-500-PET,Проверить вкус/фасовку перед apply,MANUAL_REVIEW
"Напиток газированный Dreamix вариант 98 газированная, 0,33 л, банка",Dreamix,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,Вкус без официальной подписи — см. manual-review | PDF файл не смонтирован в среде — визуальные стр. 17–40 не просмотрены,BAVARIA-DREAMIX-VARIANT-98-GAZIROVANNAYA-330-CAN,Проверить вкус/фасовку перед apply,MANUAL_REVIEW
"Напиток газированный Dreamix вариант 100 газированная, 1,5 л, ПЭТ",Dreamix,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,Вкус без официальной подписи — см. manual-review | PDF файл не смонтирован в среде — визуальные стр. 17–40 не просмотрены,BAVARIA-DREAMIX-VARIANT-100-GAZIROVANNAYA-1500-PET,Проверить вкус/фасовку перед apply,MANUAL_REVIEW
"Напиток газированный Dreamix вариант 100 газированная, 0,5 л, ПЭТ",Dreamix,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,Вкус без официальной подписи — см. manual-review | PDF файл не смонтирован в среде — визуальные стр. 17–40 не просмотрены,BAVARIA-DREAMIX-VARIANT-100-GAZIROVANNAYA-500-PET,Проверить вкус/фасовку перед apply,MANUAL_REVIEW
"Напиток газированный Dreamix вариант 100 газированная, 0,33 л, банка",Dreamix,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,Вкус без официальной подписи — см. manual-review | PDF файл не смонтирован в среде — визуальные стр. 17–40 не просмотрены,BAVARIA-DREAMIX-VARIANT-100-GAZIROVANNAYA-330-CAN,Проверить вкус/фасовку перед apply,MANUAL_REVIEW
"Напиток газированный Dreamix вариант 101 газированная, 1,5 л, ПЭТ",Dreamix,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,Вкус без официальной подписи — см. manual-review | PDF файл не смонтирован в среде — визуальные стр. 17–40 не просмотрены,BAVARIA-DREAMIX-VARIANT-101-GAZIROVANNAYA-1500-PET,Проверить вкус/фасовку перед apply,MANUAL_REVIEW
"Напиток газированный Dreamix вариант 101 газированная, 0,5 л, ПЭТ",Dreamix,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,Вкус без официальной подписи — см. manual-review | PDF файл не смонтирован в среде — визуальные стр. 17–40 не просмотрены,BAVARIA-DREAMIX-VARIANT-101-GAZIROVANNAYA-500-PET,Проверить вкус/фасовку перед apply,MANUAL_REVIEW
"Напиток газированный Dreamix вариант 101 газированная, 0,33 л, банка",Dreamix,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,Вкус без официальной подписи — см. manual-review | PDF файл не смонтирован в среде — визуальные стр. 17–40 не просмотрены,BAVARIA-DREAMIX-VARIANT-101-GAZIROVANNAYA-330-CAN,Проверить вкус/фасовку перед apply,MANUAL_REVIEW
"Напиток газированный Dreamix вариант 102 газированная, 1,5 л, ПЭТ",Dreamix,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,Вкус без официальной подписи — см. manual-review | PDF файл не смонтирован в среде — визуальные стр. 17–40 не просмотрены,BAVARIA-DREAMIX-VARIANT-102-GAZIROVANNAYA-1500-PET,Проверить вкус/фасовку перед apply,MANUAL_REVIEW
"Напиток газированный Dreamix вариант 102 газированная, 0,5 л, ПЭТ",Dreamix,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,Вкус без официальной подписи — см. manual-review | PDF файл не смонтирован в среде — визуальные стр. 17–40 не просмотрены,BAVARIA-DREAMIX-VARIANT-102-GAZIROVANNAYA-500-PET,Проверить вкус/фасовку перед apply,MANUAL_REVIEW
"Напиток газированный Dreamix вариант 102 газированная, 0,33 л, банка",Dreamix,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,Вкус без официальной подписи — см. manual-review | PDF файл не смонтирован в среде — визуальные стр. 17–40 не просмотрены,BAVARIA-DREAMIX-VARIANT-102-GAZIROVANNAYA-330-CAN,Проверить вкус/фасовку перед apply,MANUAL_REVIEW
СТМ «Айва»,Айва,https://www.bavaria-group.ru/beer-product/ajva,СТМ; нужна страница буклета для типа напитка и точных фасовок,website STM; PDF pages 17–40 not visually closed,Найти в буклете и подтвердить либо оставить в Другие,MANUAL_REVIEW
