official_name,brand,source_url,reason,evidence,suggested_action
Сокосодержащий напиток «Ф»,Бавария,https://www.bavaria-group.ru/beer-product/sokosoderzasij-napitok-f,Нельзя надёжно определить алкогольный статус,Недостаточно данных для надёжного определения крепости,Проверить карточку/этикетку вручную; не импортировать автоматически
Светлый лагер Gallagher,Бавария,https://www.bavaria-group.ru/beer-product/svetlyj-lager-gallagher,Нельзя надёжно определить алкогольный статус,"Пивной/сидровый контекст без явного «безалкогольное»/0,0%/≤0,5% об.",Проверить карточку/этикетку вручную; не импортировать автоматически
«ВкусВилл»,TBAU,https://www.bavaria-group.ru/beer-product/tbau,Не указаны объём и/или тара на официальной карточке,"
ПЭТ-бутылка 0,5 Sport Lock Негазированная/Газированная","Уточнить фасовку по этикетке/прайсу производителя, затем добавить вручную"
Витаминный энергетический напиток Rocket Ride / Rocket Ride Classic,Rocket Ride,https://www.bavaria-group.ru/beer-product/vitaminnyj-napitok-rocket-ride,Не указаны объём и/или тара на официальной карточке,"Rocket Ride Classic
Неизменная формула энергии. Rocket Ride Classic – это надежный источник бодрости, сочетающий в себе выверенный состав и ставший культовым фирменный вкус. Выбор тех, кто ценит стабильность и эффективность.","Уточнить фасовку по этикетке/прайсу производителя, затем добавить вручную"
Витаминный энергетический напиток Rocket Ride / Rocket Ride Mango-Apricot,Rocket Ride,https://www.bavaria-group.ru/beer-product/vitaminnyj-napitok-rocket-ride,Не указаны объём и/или тара на официальной карточке,"Rocket Ride Mango-Apricot
Rocket Ride Mango-Apricot — это изысканное сочетание тропической сладости манго и деликатной кислинки абрикоса, создающее неповторимую вкусовую симфонию. Откройте для себя новые грани энергии.","Уточнить фасовку по этикетке/прайсу производителя, затем добавить вручную"
Витаминный энергетический напиток Rocket Ride / Rocket Ride Energy Киви-Яблоко,Rocket Ride,https://www.bavaria-group.ru/beer-product/vitaminnyj-napitok-rocket-ride,Не указаны объём и/или тара на официальной карточке,"Rocket Ride Energy Киви-Яблоко
Сбалансированное сочетание вкуса и энергии. Rocket Ride Kiwi-Apple – это гармоничный микс яркой кислинки киви и мягкой сладости яблока, обеспечивающий длительный заряд бодрости без излишней приторности. Идеаль","Уточнить фасовку по этикетке/прайсу производителя, затем добавить вручную"
Витаминный энергетический напиток Rocket Ride / Rocket Ride Energy Дикие Ягоды,Rocket Ride,https://www.bavaria-group.ru/beer-product/vitaminnyj-napitok-rocket-ride,Не указаны объём и/или тара на официальной карточке,"Rocket Ride Energy Дикие Ягоды
Насыщенный вкус дикой природы в каждой банке. Rocket Ride Wild Berries – это мощный энергетический импульс, воплощенный в сочном букете лесных ягод. Почувствуйте прилив сил и энергии, достойный самых смелых вы","Уточнить фасовку по этикетке/прайсу производителя, затем добавить вручную"
Витаминный энергетический напиток Rocket Ride / Rocket Ride Energy Лайм-Лемонграс,Rocket Ride,https://www.bavaria-group.ru/beer-product/vitaminnyj-napitok-rocket-ride,Не указаны объём и/или тара на официальной карточке,"Rocket Ride Energy Лайм-Лемонграс
Экзотическая свежесть и бодрящая энергия. Rocket Ride Lime-Lemongrass – это изысканное сочетание цитрусовой прохлады лайма и тонизирующих нот лемонграсса. Освежите свой разум и тело, откройте для себя новые","Уточнить фасовку по этикетке/прайсу производителя, затем добавить вручную"
Горная родниковая вода «ТБАУ» Sport,TBAU,https://www.bavaria-group.ru/beer-product/zagolovok-produkta-2,"Линейка Sport упомянута на карточке, но точные объёмы/газированность для Sport не разложены отдельно без догадок","Ассортимент: «ТБАУ» газированная / «ТБАУ» негазированная / «ТБАУ Sport» / «ТБАУ Premium» газированная / «ТБАУ Premium» негазированная ПЭТ-бутылка 5 л | ПЭТ-бутылка 1,5 л | ПЭТ-бутылка 0,5 л | Стекло 0,5 л | ПЭТ-бутылка 0,5 л спорт-лок",Уточнить фасовки Sport на tbau.ru / этикетке и добавить вручную
"Напиток газированный Dreamix вариант 98 газированная, 1,5 л, ПЭТ",Dreamix,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,Вкус без официальной подписи — см. manual-review,BAVARIA-DREAMIX-VARIANT-98-GAZIROVANNAYA-1500-PET,Проверить вкус/фасовку перед apply
"Напиток газированный Dreamix вариант 98 газированная, 0,5 л, ПЭТ",Dreamix,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,Вкус без официальной подписи — см. manual-review,BAVARIA-DREAMIX-VARIANT-98-GAZIROVANNAYA-500-PET,Проверить вкус/фасовку перед apply
"Напиток газированный Dreamix вариант 98 газированная, 0,33 л, банка",Dreamix,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,Вкус без официальной подписи — см. manual-review,BAVARIA-DREAMIX-VARIANT-98-GAZIROVANNAYA-330-CAN,Проверить вкус/фасовку перед apply
"Напиток газированный Dreamix вариант 100 газированная, 1,5 л, ПЭТ",Dreamix,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,Вкус без официальной подписи — см. manual-review,BAVARIA-DREAMIX-VARIANT-100-GAZIROVANNAYA-1500-PET,Проверить вкус/фасовку перед apply
"Напиток газированный Dreamix вариант 100 газированная, 0,5 л, ПЭТ",Dreamix,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,Вкус без официальной подписи — см. manual-review,BAVARIA-DREAMIX-VARIANT-100-GAZIROVANNAYA-500-PET,Проверить вкус/фасовку перед apply
"Напиток газированный Dreamix вариант 100 газированная, 0,33 л, банка",Dreamix,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,Вкус без официальной подписи — см. manual-review,BAVARIA-DREAMIX-VARIANT-100-GAZIROVANNAYA-330-CAN,Проверить вкус/фасовку перед apply
"Напиток газированный Dreamix вариант 101 газированная, 1,5 л, ПЭТ",Dreamix,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,Вкус без официальной подписи — см. manual-review,BAVARIA-DREAMIX-VARIANT-101-GAZIROVANNAYA-1500-PET,Проверить вкус/фасовку перед apply
"Напиток газированный Dreamix вариант 101 газированная, 0,5 л, ПЭТ",Dreamix,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,Вкус без официальной подписи — см. manual-review,BAVARIA-DREAMIX-VARIANT-101-GAZIROVANNAYA-500-PET,Проверить вкус/фасовку перед apply
"Напиток газированный Dreamix вариант 101 газированная, 0,33 л, банка",Dreamix,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,Вкус без официальной подписи — см. manual-review,BAVARIA-DREAMIX-VARIANT-101-GAZIROVANNAYA-330-CAN,Проверить вкус/фасовку перед apply
"Напиток газированный Dreamix вариант 102 газированная, 1,5 л, ПЭТ",Dreamix,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,Вкус без официальной подписи — см. manual-review,BAVARIA-DREAMIX-VARIANT-102-GAZIROVANNAYA-1500-PET,Проверить вкус/фасовку перед apply
"Напиток газированный Dreamix вариант 102 газированная, 0,5 л, ПЭТ",Dreamix,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,Вкус без официальной подписи — см. manual-review,BAVARIA-DREAMIX-VARIANT-102-GAZIROVANNAYA-500-PET,Проверить вкус/фасовку перед apply
"Напиток газированный Dreamix вариант 102 газированная, 0,33 л, банка",Dreamix,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,Вкус без официальной подписи — см. manual-review,BAVARIA-DREAMIX-VARIANT-102-GAZIROVANNAYA-330-CAN,Проверить вкус/фасовку перед apply
